CustomerID,Name,Email,Phone,LoyaltyPoints,JoinDate
CUST10001,Mr. Alister Kinnear,mr..alister.kinnear@example.com,0871043321,102,2021-11-25
CUST10002,Eamon Dwane,eamon.dwane@example.com,0878196001,435,2021-01-21
CUST10003,Mrs. Niamh Tormey,mrs..niamh.tormey@example.com,0853890838,348,2022-01-26
CUST10004,Stewart Montague,stewart.montague@example.com,0863794026,270,2024-05-05
CUST10005,Anthony Cully,anthony.cully@example.com,0864235116,106,2020-10-02
CUST10006,Emmett Roland,emmett.roland@example.com,0855594078,71,2020-03-09
CUST10007,Alanis Wrynn-Greely,alanis.wrynn-greely@example.com,0856184959,188,2020-08-31
CUST10008,Dr. Colleen Nulty,dr..colleen.nulty@example.com,0851034131,20,2024-03-09
CUST10009,Dionne Banks-Finnerty,dionne.banks-finnerty@example.com,0864752553,102,2024-06-19
CUST10010,Dr. Eva Kitson,dr..eva.kitson@example.com,0874192832,121,2022-01-30
CUST10011,Don Mansfield,don.mansfield@example.com,0866483503,466,2022-01-02
CUST10012,Calvin McGrenehan,calvin.mcgrenehan@example.com,0855641395,214,2020-03-29
CUST10013,Johnny McAreavey,johnny.mcareavey@example.com,0857672423,330,2024-04-01
CUST10014,Deirbhile Carr-O'Farrelly,deirbhile.carr-ofarrelly@example.com,0878849696,458,2022-03-07
CUST10015,Brooklyn McGovern,brooklyn.mcgovern@example.com,0863287101,87,2023-07-25
CUST10016,Ruairi Leydon,ruairi.leydon@example.com,0852691669,372,2024-06-19
CUST10017,Miss Lesley Goff,miss.lesley.goff@example.com,0868480184,99,2020-04-08
CUST10018,Mrs. Alix Heney,mrs..alix.heney@example.com,0875146270,359,2021-01-03
CUST10019,Dr. Cahir Hever,dr..cahir.hever@example.com,0874828148,151,2022-05-05
CUST10020,Mrs. Grainne Kitson,mrs..grainne.kitson@example.com,0873252880,130,2021-06-08
CUST10021,Megan McEllistrim,megan.mcellistrim@example.com,0875701543,149,2022-08-06
CUST10022,Joseph McCool,joseph.mccool@example.com,0853911718,308,2021-10-16
CUST10023,Fintan Considine,fintan.considine@example.com,0852782489,257,2020-02-25
CUST10024,Megan Friel-Storey,megan.friel-storey@example.com,0863834657,343,2022-08-13
CUST10025,Ms. Catherine O'Hagan,ms..catherine.ohagan@example.com,0877133150,491,2022-03-23
CUST10026,Demi-Leigh Whelan,demi-leigh.whelan@example.com,0878393010,413,2024-04-10
CUST10027,Jack Clune,jack.clune@example.com,0851051834,293,2020-08-28
CUST10028,Antoin MacGill,antoin.macgill@example.com,0877382997,385,2023-03-23
CUST10029,Demi-Lee Conlan,demi-lee.conlan@example.com,0857631165,191,2020-08-09
CUST10030,Scott MacFall,scott.macfall@example.com,0866701065,443,2023-04-20
CUST10031,Padraig McMonagle,padraig.mcmonagle@example.com,0853338726,276,2024-04-26
CUST10032,Dr. Conal Kerrigan,dr..conal.kerrigan@example.com,0854731781,160,2022-12-07
CUST10033,Eugene Wynne,eugene.wynne@example.com,0858013267,459,2020-11-08
CUST10034,Deborah Mulgrave,deborah.mulgrave@example.com,0863602606,313,2020-07-03
CUST10035,Hollie McDermott-Haugh,hollie.mcdermott-haugh@example.com,0867468723,21,2024-06-02
CUST10036,Pearce Reade,pearce.reade@example.com,0863098050,252,2021-12-11
CUST10037,Barry Deloughrey,barry.deloughrey@example.com,0859788208,235,2021-05-31
CUST10038,Vincent Finucane,vincent.finucane@example.com,0852191361,344,2023-09-22
CUST10039,Dr. Terence Comerford,dr..terence.comerford@example.com,0873990916,48,2020-01-24
CUST10040,Haley O'Kieve,haley.okieve@example.com,0879985435,474,2024-01-24
CUST10041,Darragh Walls,darragh.walls@example.com,0854624751,58,2020-11-16
CUST10042,Mrs. Nichole Devereux,mrs..nichole.devereux@example.com,0857991183,169,2022-12-06
CUST10043,Dr. Zak Maxwell,dr..zak.maxwell@example.com,0874251354,475,2021-02-16
CUST10044,Glen Mulry,glen.mulry@example.com,0857849808,187,2020-11-29
CUST10045,Matthew Annsboro,matthew.annsboro@example.com,0861241182,463,2021-11-10
CUST10046,Miss Kathy Gaughan,miss.kathy.gaughan@example.com,0864935348,270,2021-09-27
CUST10047,Bethany Lordan,bethany.lordan@example.com,0864016400,189,2024-03-23
CUST10048,Ms. Carolyn McGillicuddy,ms..carolyn.mcgillicuddy@example.com,0862427868,445,2020-05-05
CUST10049,Mr. Rohan Spenser,mr..rohan.spenser@example.com,0851128059,174,2023-02-15
CUST10050,Thomas MacNeill,thomas.macneill@example.com,0872620450,445,2020-09-21
CUST10051,Aine Dermody,aine.dermody@example.com,0863315869,50,2022-12-09
CUST10052,Tiegan MacBreen,tiegan.macbreen@example.com,0872322602,363,2022-07-08
CUST10053,Blaine Hourigan,blaine.hourigan@example.com,0875634216,54,2020-09-23
CUST10054,Aoibhin Creedon-Qualter,aoibhin.creedon-qualter@example.com,0857337543,243,2021-12-26
CUST10055,Mrs. Sabrina Stephenson,mrs..sabrina.stephenson@example.com,0850365414,319,2022-03-08
CUST10056,Mr. Ciaran O'Sharkey,mr..ciaran.osharkey@example.com,0868685014,130,2023-12-30
CUST10057,Cathy Kerrisk,cathy.kerrisk@example.com,0859401965,484,2022-08-05
CUST10058,Therese Moore,therese.moore@example.com,0875698169,306,2023-07-21
CUST10059,Rohan Groarke,rohan.groarke@example.com,0854060883,134,2020-05-24
CUST10060,Miss Hollie McGettrick,miss.hollie.mcgettrick@example.com,0866159514,20,2022-11-10
CUST10061,Victoria Sharpe,victoria.sharpe@example.com,0874656482,328,2020-09-25
CUST10062,Bronagh Jameson,bronagh.jameson@example.com,0856629946,166,2021-03-12
CUST10063,Bradley Marren,bradley.marren@example.com,0870443699,273,2021-02-17
CUST10064,Steven Walshe,steven.walshe@example.com,0875777387,387,2020-12-20
CUST10065,Steven Hawthorn,steven.hawthorn@example.com,0872148951,88,2020-07-25
CUST10066,Brett Coleman,brett.coleman@example.com,0854332003,315,2021-05-23
CUST10067,Breandan Burns,breandan.burns@example.com,0869176936,13,2023-04-18
CUST10068,Miss Anne-Marie Seally,miss.anne-marie.seally@example.com,0866320163,241,2020-09-23
CUST10069,Garrett Purcell,garrett.purcell@example.com,0858708317,264,2023-10-25
CUST10070,Rohan Droney,rohan.droney@example.com,0857889579,345,2021-04-20
CUST10071,Dr. Dana O'Regan,dr..dana.oregan@example.com,0878687277,52,2021-10-06
CUST10072,Dr. Daryl Cummins,dr..daryl.cummins@example.com,0863487347,385,2022-04-28
CUST10073,Luke McConaghy,luke.mcconaghy@example.com,0854345581,339,2021-03-08
CUST10074,Jamie O'Kearney,jamie.okearney@example.com,0852362316,91,2020-03-11
CUST10075,Mrs. Natalie D'Arcy,mrs..natalie.darcy@example.com,0865876036,366,2021-01-21
CUST10076,Kristopher Martyn,kristopher.martyn@example.com,0869096705,443,2020-07-09
CUST10077,Mr. Eunan Gloster,mr..eunan.gloster@example.com,0866688937,454,2020-01-28
CUST10078,Robert Norton,robert.norton@example.com,0854670656,427,2020-02-03
CUST10079,Logan Gilbane,logan.gilbane@example.com,0872729806,263,2023-06-24
CUST10080,Mitchel Joyce-Corley,mitchel.joyce-corley@example.com,0879016272,430,2020-06-23
CUST10081,Shannon Twomey,shannon.twomey@example.com,0854653755,34,2022-09-04
CUST10082,Ben Timlin,ben.timlin@example.com,0864641708,205,2023-10-06
CUST10083,Mrs. Ashley Hogan,mrs..ashley.hogan@example.com,0855310033,80,2021-10-23
CUST10084,Kurtis Quaide,kurtis.quaide@example.com,0859232719,419,2020-05-02
CUST10085,Cliona McPartlon,cliona.mcpartlon@example.com,0857452991,49,2022-01-31
CUST10086,Craig McGowern,craig.mcgowern@example.com,0854190496,359,2022-05-10
CUST10087,Kelvin Kerville,kelvin.kerville@example.com,0863193149,387,2024-06-01
CUST10088,Dr. George Mooney,dr..george.mooney@example.com,0859058651,1,2020-03-05
CUST10089,Dr. Carrie Girvan,dr..carrie.girvan@example.com,0875067165,389,2023-04-14
CUST10090,Donal Coholan-Togher,donal.coholan-togher@example.com,0877262849,53,2021-08-30
CUST10091,Hayden Coffey,hayden.coffey@example.com,0877769453,105,2024-06-16
CUST10092,Stefan O'Sullivan,stefan.osullivan@example.com,0854737996,259,2022-03-05
CUST10093,Tamara Stanton,tamara.stanton@example.com,0860752735,309,2022-04-27
CUST10094,Blaine Rudden,blaine.rudden@example.com,0865494808,476,2022-06-02
CUST10095,Darren Connell,darren.connell@example.com,0851367837,190,2024-02-09
CUST10096,Anna Histon-McQuin,anna.histon-mcquin@example.com,0877701436,401,2023-08-01
CUST10097,Seamus Ingoldsby,seamus.ingoldsby@example.com,0873495788,217,2024-02-07
CUST10098,Lucy Canning-Coyle,lucy.canning-coyle@example.com,0866855744,43,2020-04-19
CUST10099,Molly Shortt,molly.shortt@example.com,0863135182,161,2020-07-11
CUST10100,Dearbhla Guinnane,dearbhla.guinnane@example.com,0853749894,201,2022-02-03
CUST10101,Dr. Eoin Kerwick,dr..eoin.kerwick@example.com,0853435240,445,2021-05-21
CUST10102,Caitlyn Lovett,caitlyn.lovett@example.com,0878240084,483,2024-04-03
CUST10103,Ellie Cook,ellie.cook@example.com,0872710947,269,2023-11-22
CUST10104,Michael Daniel,michael.daniel@example.com,0867520471,350,2021-11-13
CUST10105,Robin Hardy,robin.hardy@example.com,0856719022,303,2023-04-07
CUST10106,Deirbhile Drum,deirbhile.drum@example.com,0874131869,270,2020-11-03
CUST10107,Toni Connellan,toni.connellan@example.com,0879386774,455,2024-02-27
CUST10108,Joseph Lavan,joseph.lavan@example.com,0876499091,461,2022-07-21
CUST10109,Malachy Toner,malachy.toner@example.com,0853412328,214,2021-02-18
CUST10110,Miss Margaret Smyth,miss.margaret.smyth@example.com,0852067974,251,2020-12-17
CUST10111,Ruari Loughrey,ruari.loughrey@example.com,0853447134,189,2023-05-26
CUST10112,Mr. Clifford Kerr,mr..clifford.kerr@example.com,0879361832,295,2022-03-28
CUST10113,Carter Walls,carter.walls@example.com,0862102499,212,2022-10-31
CUST10114,Frazer Landa,frazer.landa@example.com,0867174648,207,2022-01-01
CUST10115,Claudia McAnally-Guinane,claudia.mcanally-guinane@example.com,0877719065,236,2021-04-09
CUST10116,Dr. Pauric Quinn,dr..pauric.quinn@example.com,0874013990,337,2023-08-22
CUST10117,Benjamin Cullen-Morahan,benjamin.cullen-morahan@example.com,0874902787,366,2022-04-08
CUST10118,Miss Alison Ansboro,miss.alison.ansboro@example.com,0862967175,52,2023-08-07
CUST10119,Sara Downing,sara.downing@example.com,0865512567,279,2022-01-14
CUST10120,Dr. Cormac Neary,dr..cormac.neary@example.com,0866807154,409,2021-11-06
CUST10121,Orlaigh Mulcair,orlaigh.mulcair@example.com,0861680876,216,2024-05-25
CUST10122,Adele Dermody,adele.dermody@example.com,0853859770,251,2023-02-07
CUST10123,Conchur Torpey,conchur.torpey@example.com,0854824771,187,2020-08-18
CUST10124,Joseph Waldron,joseph.waldron@example.com,0859324808,379,2020-11-14
CUST10125,Luke Dordan,luke.dordan@example.com,0861317127,492,2020-12-31
CUST10126,Hamish McElhattin,hamish.mcelhattin@example.com,0874846773,40,2020-07-28
CUST10127,Mr. Johnny Hanlon,mr..johnny.hanlon@example.com,0868263982,156,2020-10-28
CUST10128,Mr. Caomhan McCollam,mr..caomhan.mccollam@example.com,0854658404,14,2021-01-30
CUST10129,Dr. Tristan Fennell,dr..tristan.fennell@example.com,0874997278,300,2020-01-17
